,season,team1,team2,0,teams,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
198,1873.0,PH2,NY2,4.0,NY2PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1873.0,PH2,PH1,7.0,PH1PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1873.0,PH2,WS5,1.0,PH2WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1873.0,WS5,ATL,5.0,ATLWS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1873.0,WS5,BL1,3.0,BL1WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1873.0,WS5,BL4,1.0,BL4WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1873.0,WS5,BR2,2.0,BR2WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1873.0,WS5,ELI,1.0,ELIWS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1873.0,WS5,NY2,2.0,NY2WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1873.0,WS5,PH2,4.0,PH2WS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1874.0,ATL,BL1,5.0,ATLBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1874.0,ATL,BR2,5.0,ATLBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1874.0,ATL,CHC,5.0,ATLCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1874.0,ATL,HR1,5.0,ATLHR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1874.0,ATL,NY2,5.0,ATLNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1874.0,ATL,PH1,5.0,ATLPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1874.0,ATL,PH2,5.0,ATLPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1874.0,BL1,ATL,5.0,ATLBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1874.0,BL1,BR2,1.0,BL1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1874.0,BL1,CHC,4.0,BL1CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1874.0,BL1,HR1,1.0,BL1HR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1874.0,BL1,NY2,4.0,BL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1874.0,BL1,PH1,2.0,BL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1874.0,BL1,PH2,3.0,BL1PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1874.0,BR2,ATL,5.0,ATLBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1874.0,BR2,BL1,3.0,BL1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1874.0,BR2,CHC,4.0,BR2CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1874.0,BR2,HR1,4.0,BR2HR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1874.0,BR2,NY2,5.0,BR2NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1874.0,BR2,PH1,2.0,BR2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1874.0,BR2,PH2,5.0,BR2PH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1874.0,CHC,ATL,5.0,ATLCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1874.0,CHC,BL1,6.0,BL1CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1874.0,CHC,BR2,3.0,BR2CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1874.0,CHC,HR1,2.0,CHCHR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1874.0,CHC,NY2,5.0,CHCNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1874.0,CHC,PH1,2.0,CHCPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1874.0,CHC,PH2,5.0,CHCPH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1874.0,HR1,ATL,5.0,ATLHR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1874.0,HR1,BL1,4.0,BL1HR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,1874.0,HR1,BR2,4.0,BR2HR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1874.0,HR1,CHC,3.0,CHCHR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1874.0,HR1,NY2,4.0,HR1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
